"id","tool_name","bleu_score","cosine_similarity","lsa_score"
345,"Google Translate","0.4604275802485726","0.5893043007776347","0.46391536729621935"
394,"Marefa","0.16496182943196083","0.49780859105856057","0.32069059685598467"
346,"Marefa","0.4317727759949192","0.5514841269186629","0.4206913428297221"
367,"MarianMT","0.22858038736331776","0.6027521059512313","0.40645834359578703"
347,"MarianMT","0.28622341913532795","0.4797452155538827","0.34609721414767475"
383,"MarianMT","0.3577451569473347","0.6489956607497334","0.48432385209145157"
348,"Fine-tuned MarianMT","0.2647609120066133","0.465329421676662","0.33024912904617115"
368,"Fine-tuned MarianMT","0.17480017780590912","0.5730630913983121","0.37112489477694705"
349,"Google Translate","0.3595916460936665","0.5205873493506269","0.4028269118688709"
350,"Marefa","0.3251245401548027","0.47179604830350363","0.34420032447737653"
409,"Google Translate","0.20851430547691707","0.3038962287746987","0.22188825779182264"
369,"Google Translate","0.21072366158716296","0.6329716421509567","0.4366465711238621"
351,"MarianMT","0.2528843100536987","0.5287669717614114","0.37943102806809115"
384,"Fine-tuned MarianMT","0.2782017015625712","0.5862643693389652","0.4264927987053496"
